,media_id,favorites,coins,views,danmakus,media_tags,score,cm_count
99,28222622,1427885,78583,17015747,290201,"['小说改', '穿越', '奇幻', '萌系', '架空', '魔法', '搞笑']",9.3,15059.0
100,809,1176505,27647,11548670,444526,"['奇幻', '少女', '恋爱']",9.6,3156.0
101,28221410,1184769,90506,20458222,259517,"['小说改', '职场', '奇幻', '穿越']",9.1,26835.0
102,191,1201772,44410,10271537,600732,"['萌系', '日常', '美食', '治愈', '萝莉']",9.6,4772.0
103,3068,1207791,77174,15944475,1687630,"['校园', '音乐', '偶像', '社团', '励志']",9.6,5793.0
104,12872,1208370,78389,20066406,564468,['小说改'],9.7,23401.0
105,6420,1215217,46822,32798239,516016,"['小说改', '热血', '战斗']",7.7,11529.0
106,5020,1223608,76965,29399925,1010506,"['奇幻', '校园', '穿越']",8.4,2071.0
107,6427,1223516,95698,18451422,581443,"['恋爱', '原创', '校园']",9.5,18310.0
108,439,1233376,45421,33417247,595791,"['奇幻', '战斗', '热血', '架空', '穿越', '冒险']",9.1,3899.0
109,779,1238284,114841,54684374,2940615,"['时泪', '奇幻', '战斗', '热血', '声控']",9.5,7988.0
110,3440,1247846,30274,16338845,598870,"['日常', '神魔']",9.6,3437.0
111,2673,1259941,60598,36342060,1021357,"['搞笑', '校园', '恋爱']",9.4,5025.0
112,28221396,1280195,112447,24546808,360873,"['漫画改', '穿越', '冒险']",9.4,13758.0
113,6447,1284588,53659,31110545,546724,"['搞笑', '日常', '神魔', '漫画改']",9.7,11355.0
114,28223281,11052,6400,414719,7560,['漫画改'],9.7,197.0
115,842,1060189,43962,15590309,742270,"['奇幻', '校园', '恋爱', '小说改']",9.6,5038.0
116,28222619,1062359,36595,9919374,194081,"['小说改', '奇幻', '战斗', '魔法', '架空']",6.5,7864.0
117,79312,1063732,65114,21987038,304338,"['奇幻', '游戏改']",9.1,8171.0
118,964,1073805,108495,23962812,1712033,"['科幻', '校园', '战斗', '热血', '小说改']",8.9,4714.0
119,6470,1093016,49862,9310230,203001,"['恋爱', '音乐', '原创', '校园', '声控']",9.6,7726.0
120,3756,1093465,70440,27017281,3065660,"['少女', '魔法']",9.8,10418.0
121,5043,1098162,103172,24028926,1006689,"['校园', '日常']",9.6,5990.0
122,1656,1102761,24314,13179916,857650,"['奇幻', '日常', '声控', '小说改']",9.6,4109.0
123,28222522,1116580,123737,11576302,327236,"['游戏改', '战斗', '萌系', '架空', '科幻', '声控']",9.4,10935.0
