position,salary,company_name,city,experience,education,company_type,company_scale
Java实习生,6-8千/月,广州软拓信息科技有限公司,阳江,无工作经验,招若干人,民营公司,50-150人
Java开发工程师,1.5-2.5万/月,杭州荔枝优品网络科技有限公司,杭州-滨江区,2年经验,本科,民营公司,50-150人
Java开发工程师,4.5-6千/月,圣基尚源国际科技（北京）有限公司,吉安,3-4年经验,大专,民营公司,50-150人
Java 工程师,0.5-1万/月,惠龙易通国际物流股份有限公司,镇江,1年经验,大专,民营公司,500-1000人
Java开发工程师,0.6-1万/月,广东金鼎移动传媒有限公司,惠州,3-4年经验,本科,民营公司,50-150人
软件开发/Java工程师（昆山厂）,0.8-1万/月,安博电子科技（常熟）有限公司,常熟,3-4年经验,大专,外资（非欧美）,1000-5000人
Java开发工程师(月薪8k-1.2w+五险一金),0.8-1.2万/月,深圳店小秘网络科技有限公司,深圳-龙岗区,2年经验,本科,创业公司,50-150人
Java高级开发工程师,1-2万/月,武汉杰讯环球贸易有限公司,长沙-岳麓区,3-4年经验,大专,民营公司,50-150人
Java开发工程师,0.5-1万/月,山东卡尔电气股份有限公司,威海,2年经验,招6人,民营公司,150-500人
java软件开发实习生（外派岗）,4.5-6千/月,广州云凌信息科技有限公司,广州-天河区,无工作经验,中专,民营公司,50-150人
JAVA开发工程师,0.8-1.2万/月,湖北长佰网络科技有限公司,武汉-洪山区,2年经验,本科,民营公司,50-150人
Java开发工程师,3-4.5千/月,北京国通创投信息科技有限公司,西安-高新技术产业开发区,1年经验,大专,民营公司,
java研发工程师,0.7-1.2万/月,武汉品致汽车技术有限公司,武汉-武汉经济开发区,3-4年经验,本科,民营公司,50-150人
Java前端开发工程师,5-8千/月,云南莱瑞科技有限公司,昆明-盘龙区,无工作经验,招3人,民营公司,少于50人
java服务器工程师,1.8-3.5万/月,昆山木子木网络科技有限公司,上海,3-4年经验,大专,民营公司,少于50人
Java中级开发工程师(研发部),0.8-1.5万/月,四川虹信软件股份有限公司,成都-高新区,3-4年经验,本科,国企,150-500人
Java中级开发工程师,0.8-1万/月,广州市同道信息科技有限公司,广州,3-4年经验,本科,民营公司,150-500人
中/高级java开发工程师,1.1-2万/月,广东亿迅科技有限公司,广州-海珠区,3-4年经验,本科,国企,1000-5000人
Java高级开发工程师,1.5-2万/月,北京华胜天成科技股份有限公司,北京-海淀区,无工作经验,本科,上市公司,5000-10000人
Java后台,1.2-1.8万/月,浙江成峰实业有限公司,杭州-余杭区,3-4年经验,大专,民营公司,150-500人
Java开发工程师,0.6-1.2万/月,广东北部湾农产品批发中心有限公司,湛江,3-4年经验,本科,民营公司,150-500人
Java开发实习生,3-4.5千/月,北京浅源深科教育科技有限公司,北京-海淀区,无工作经验,招5人,民营公司,少于50人
Java高级开发工程师,1.5-2.5万/月,苏州中仑网络科技有限公司,苏州-工业园区,5-7年经验,本科,民营公司,50-150人
本社Java TL,1.2-1.8万/月,大连铭信科技发展有限公司,大连-高新园区,5-7年经验,本科,民营公司,50-150人
Java高级开发工程师,0.8-1.6万/月,狮帆科技（珠海）有限公司,珠海-香洲区,5-7年经验,大专,民营公司,少于50人
Java高级开发工程师,1-1.5万/月,运鸿集团股份有限公司,武汉-东湖新技术产业开发区,5-7年经验,中专,民营公司,1000-5000人
Java开发工程师,3.5-8千/月,德科仕通信（上海）有限公司,合肥-瑶海区,2年经验,本科,民营公司,50-150人
Java开发工程师,0.6-1万/月,江苏四海商舟电子商务有限公司,南京-秦淮区,无工作经验,招1人,民营公司,150-500人
高级Java工程师（架构师）,1.5-2.5万/月,深圳创链数据科技有限公司,深圳-南山区,5-7年经验,本科,民营公司,50-150人
中高级JAVA工程师,1.2-1.7万/月,深圳麦亚信科技股份有限公司,深圳-南山区,无工作经验,大专,上市公司,150-500人
Java高级开发工程师,1.2-1.8万/月,微脉科技（深圳）有限公司,深圳-南山区,3-4年经验,大专,民营公司,50-150人
Java高级开发工程师,1.5-2万/月,广州东辰网络科技有限公司,广州-天河区,无工作经验,招1人,民营公司,50-150人
Java软件开发工程师（浦东驻场）,1-1.5万/月,易保网络技术（上海）有限公司-eBaoTech Corporation,上海-浦东新区,3-4年经验,本科,外资（欧美）,1000-5000人
Java开发工程师,0.8-1.3万/月,杭州诚品科技有限公司,杭州-西湖区,无工作经验,招2人,民营公司,50-150人
Java开发工程师,1.5-1.8万/月,广州友地信息技术有限公司,深圳-南山区,3-4年经验,大专,民营公司,150-500人
java（珠海）,0.7-1.2万/月,上海维恩孛特信息技术有限公司,珠海-香洲区,1年经验,本科,民营公司,50-150人
Java开发工程师,0.8-1.5万/月,杭州觅睿科技有限公司,杭州-滨江区,1年经验,本科,民营公司,50-150人
Java高级开发工程师,1.2-2万/月,广州市飞�r信息科技有限公司,广州-番禺区,3-4年经验,大专,民营公司,50-150人
高薪聘请-Java讲师,1-1.5万/月,湖南智邦教育科技有限公司,长沙-长沙县,3-4年经验,大专,民营公司,50-150人
Java高级开发工程师,1.5-1.8万/月,北京信联互动科技有限公司,北京,5-7年经验,大专,民营公司,50-150人
3221BF-JAVA架构师（中间件方向） (职位编号：3221BF),40-50万/年,平安健康互联网股份有限公司,上海-浦东新区,5-7年经验,本科,上市公司,1000-5000人
Java软件开发工程师,1-1.5万/月,北京久其软件股份有限公司,北京,1年经验,本科,上市公司,1000-5000人
Java中级,0.9-1.1万/月,广州纳诺科技股份有限公司,广州-白云区,3-4年经验,大专,民营公司,150-500人
南京百助人员筹建-Java开发,1.8-3.6万/月,马鞍山百助网络科技有限公司,南京-雨花台区,3-4年经验,本科,民营公司,150-500人
Java开发工程师,0.7-1.4万/月,北辰德科技,山西省,1年经验,本科,民营公司,500-1000人
Java开发工程师,1.2-1.8万/月,上海鼎驰信息技术有限公司,上海-黄浦区,3-4年经验,本科,民营公司,50-150人
Java开发工程师,1-1.5万/月,武汉康瑞药业有限公司,武汉-汉阳区,3-4年经验,本科,民营公司,50-150人
Java开发工程师（移动端开发）,1-1.5万/月,广州市诚毅科技软件开发有限公司,广州,3-4年经验,本科,民营公司,150-500人
Java开发工程师（高级）,1.2-1.5万/月,湖南云简信息技术有限公司,长沙-岳麓区,5-7年经验,本科,民营公司,50-150人
高级JAVA工程师 (MJ000536),2-2.8万/月,上海锦江国际电子商务有限公司,上海-黄浦区,5-7年经验,本科,合资,500-1000人
Java开发工程师,5-8千/月,武汉市同步远方信息技术开发有限公司,武汉,2年经验,大专,民营公司,150-500人
Java开发工程师,1-1.5万/月,宁波鸿裕工业有限公司,宁波-北仑区,5-7年经验,大专,合资,500-1000人
Java高级开发工程师,1.5-2万/月,深圳高速工程顾问有限公司,深圳-福田区,5-7年经验,本科,民营公司,1000-5000人
Java开发工程师,1.5-2万/月,深圳市锐明技术股份有限公司,南京-江宁区,3-4年经验,本科,民营公司,1000-5000人
JAVA工程师,15-20万/年,华为技术有限公司,武汉,1年经验,招10人,民营公司,10000人以上
服务端开发工程师（java、php等转erlang）,0.8-1.5万/月,广州乐牛软件科技有限公司,广州-天河区,无工作经验,本科,民营公司,150-500人
Java中级开发工程师,1.5-2万/月,上海大智慧财汇数据科技有限公司,上海-浦东新区,3-4年经验,本科,上市公司,500-1000人
JAVA高级工程师,1-1.5万/月,武汉鸿瑞达信息技术有限公司,武汉,5-7年经验,本科,民营公司,50-150人
微信小程序开发（java/web）周末双休 (职位编号：2),4.5-6千/月,合肥优创云软件科技有限公司,合肥-蜀山区,无工作经验,大专,民营公司,500-1000人
Java开发工程师,0.6-1.2万/月,东莞市厚实软件有限公司,东莞-南城区,1年经验,大专,创业公司,少于50人
Java高级开发工程师,1.8-3.5万/月,伯睿达信息科技（上海）有限公司,上海-浦东新区,5-7年经验,本科,民营公司,少于50人
Java高级开发工程师,10-15万/年,广州市璐华计算机科技有限公司,广州,3-4年经验,本科,民营公司,少于50人
java开发工程师,6-8千/月,深圳神木源科技有限公司,深圳-龙岗区,1年经验,大专,民营公司,150-500人
IT行业储备干部（java/web前端）,4.5-6千/月,江苏虎跃文化传媒有限公司,无锡-梁溪区,无工作经验,大专,合资,少于50人
Java开发工程师,0.6-1万/月,苏州花久衣时装有限公司,苏州-工业园区,无工作经验,招1人,民营公司,少于50人
