,position,salary,company_name,city,experience,education,welfare,company_type,company_scale,company_major,_id
1311,2020届Java开发工程师（大连）,4-6千/月,华畅科技(大连)股份有限公司,大连-高新园区,无工作经验,本科,"五险一金,绩效奖金,专业培训,弹性工作,定期体检,员工旅游,餐饮补贴,出国机会,年终奖金,交通补贴",外资（非欧美）,150-500人,通信/电信/网络设备,5dc8e8d85955fa04c54b9b93
1312,JAVA软件工程师,6-8千/月,浙江致一网络科技有限公司,温州,1年经验,大专,"五险一金,员工旅游,专业培训,绩效奖金,股票期权,年终奖金",民营公司,少于50人,计算机软件,5dc8e8da5955fa04c54b9b94
1313,JAVA中级工程师,0.7-1万/月,广州中昱医学生物科技有限公司,广州-黄埔区,2年经验,大专,"五险一金,周末双休,交通补贴,通讯补贴",民营公司,150-500人,医疗设备/器械,5dc8e8dd5955fa04c54b9b95
1314,Java软件工程师,6-8千/月,某知名科技公司,大连-高新园区,无工作经验,招若干人,,民营公司,50-150人,计算机软件,5dc8e8de5955fa04c54b9b96
1315,JAVA软件工程师(高新西区）,4.5-6千/月,高斯贝尔成都研发中心,成都,2年经验,大专,"五险一金,周末双休,带薪年假,餐补房补",民营公司,150-500人,计算机服务(系统、数据服务、维修),5dc8e8df5955fa04c54b9b97
1316,Java中级开发工程师（兰州上班）,0.8-1万/月,兰州序贯博信息科技有限公司,兰州,3-4年经验,大专,"五险一金,员工旅游,专业培训,绩效奖金,年终奖金",民营公司,50-150人,计算机软件,5dc8e8e15955fa04c54b9b98
1317,Java系统架构师,1.3-2.5万/月,能拓能源股份有限公司,南京,无工作经验,本科,"五险一金,弹性工作,绩效奖金",上市公司,500-1000人,电气/电力/水利,5dc8e8e25955fa04c54b9b99
1318,Java软件开发工程师,0.8-1.5万/月,武汉新烽光电股份有限公司,武汉,3-4年经验,大专,"五险一金,补充医疗保险,免费班车,员工旅游,年终奖金,定期体检",上市公司,50-150人,计算机服务(系统、数据服务、维修),5dc8e8e35955fa04c54b9b9a
1319,JAVA后端开发工程师,1.2-1.8万/月,深圳中铸凯旋供应链管理有限公司,深圳-福田区,3-4年经验,本科,"五险一金,通讯补贴,带薪年假,员工旅游,专业培训,年终奖金",合资,150-500人,交通/运输/物流,5dc8e8e45955fa04c54b9b9b
1320,java前端开发工程师（兰州）,5-8千/月,上海帕科软件科技股份有限公司,兰州,3-4年经验,本科,"五险一金,补充医疗保险,餐饮补贴,通讯补贴,定期体检,员工旅游,专业培训",合资,150-500人,计算机软件,5dc8e8e55955fa04c54b9b9c
1321,Java高级开发工程师（代招）,1-2万/月,深圳市中悦科技有限公司,深圳-龙岗区,3-4年经验,本科,,民营公司,少于50人,计算机软件,5dc8e8e65955fa04c54b9b9d
1322,Java开发工程师主管,1.5-2.5万/月,北京雷霆万钧网络科技有限责任公司,北京-东城区,5-7年经验,本科,"五险一金,补充医疗保险,餐饮补贴,定期体检,节日福利,带薪年假",外资（非欧美）,150-500人,互联网/电子商务,5dc8e8e75955fa04c54b9b9e
1323,JAVA工程师,0.8-1万/月,深圳市英威腾电气股份有限公司,深圳-宝安区,3-4年经验,招若干人,"五险一金,专业培训,年终奖金,定期体检,免费班车",上市公司,1000-5000人,电气/电力/水利,5dc8e8e95955fa04c54b9b9f
1324,Java开发工程师,1-2万/月,IMG泡米文化科技,成都-青羊区,3-4年经验,大专,"五险一金,员工旅游,专业培训,补充医疗保险,绩效奖金",外资（欧美）,少于50人,金融/投资/证券,5dc8e8ea5955fa04c54b9ba0
1325,Java高级开发工程师,1.5-2.5万/月,丝路卫星通信有限公司,南京,无工作经验,本科,"五险一金,员工旅游,通讯补贴,出国机会,绩效奖金,年终奖金",民营公司,150-500人,通信/电信/网络设备,5dc8e8eb5955fa04c54b9ba1
1326,Java开发工程师,1.8-3万/月,北京深睿博联科技有限责任公司,杭州-余杭区,3-4年经验,本科,"五险一金,补充医疗保险,专业培训,弹性工作,年终奖金,绩效奖金,股票期权,员工旅游",民营公司,150-500人,计算机软件,5dc8e8ec5955fa04c54b9ba2
1327,Java高级工程师,1.5-2.5万/月,南京橙红科技股份有限公司,南京-雨花台区,5-7年经验,本科,"五险一金,员工旅游,餐饮补贴,年终奖金,定期体检",民营公司,50-150人,计算机软件,5dc8e8ed5955fa04c54b9ba3
1328,Java开发工程师,0.6-1万/月,北京天创科林科技有限公司,北京-顺义区,无工作经验,本科,"周末双休,带薪年假,餐饮补贴,五险,年底双薪,定期体检,员工旅游,节日福利",民营公司,50-150人,电子技术/半导体/集成电路,5dc8e8ee5955fa04c54b9ba4
1329,Java高级开发工程师,1.8-3万/月,广州视声智能股份有限公司,深圳-宝安区,5-7年经验,本科,"五险一金,餐饮补贴,员工旅游,免费班车,绩效奖金,周末双休,免费住宿,员工饭堂,弹性工作,年终奖金",上市公司,150-500人,计算机软件,5dc8e8ef5955fa04c54b9ba5
1330,Java高级开发工程师,15-20万/年,上海泰宇信息技术股份有限公司杭州分公司,杭州-上城区,3-4年经验,本科,"做五休二,周末双休,带薪年假,五险一金,弹性工作,绩效奖金",上市公司,150-500人,电子技术/半导体/集成电路,5dc8e8f05955fa04c54b9ba6
1331,Java架构师/技术经理,2.5-3万/月,上海润和信息技术服务有限公司,上海-浦东新区,5-7年经验,本科,"五险一金,年终奖金,定期体检,绩效奖金,加班补贴",上市公司,150-500人,计算机软件,5dc8e8f25955fa04c54b9ba7
1332,Java高级开发工程师,3-4万/月,上海孩子通信息科技有限公司,上海-虹口区,3-4年经验,本科,"五险一金,交通补贴,餐饮补贴,年终奖金,弹性工作",上市公司,1000-5000人,计算机软件,5dc8e8f35955fa04c54b9ba8
1333,Java服务器开发工程师,1.5-2万/月,深圳市易二三科技有限公司,深圳-南山区,3-4年经验,本科,"五险一金,员工旅游,绩效奖金,年终奖金,定期体检,专业培训,交通补贴,餐饮补贴,通讯补贴,出国机会",民营公司,50-150人,互联网/电子商务,5dc8e8f45955fa04c54b9ba9
1334,Java开发工程师,1-1.5万/月,北京腾信软创科技股份有限公司,北京-东城区,3-4年经验,本科,,民营公司,50-150人,计算机软件,5dc8e8f55955fa04c54b9baa
1335,（高级）Java开发工程师（Mob云事业部）,2-4万/月,MobData大数据云平台,上海-徐汇区,3-4年经验,大专,,民营公司,,计算机软件,5dc8e8f65955fa04c54b9bab
1336,JAVA开发工程师,1.5-3万/月,游族网络,上海-徐汇区,2年经验,本科,"五险一金,餐饮补贴,员工旅游,绩效奖金,年终奖金,弹性工作",外资（欧美）,150-500人,计算机服务(系统、数据服务、维修),5dc8e8f75955fa04c54b9bac
1337,高级JAVA软件工程师,1-1.5万/月,依柯力信息科技（上海）股份有限公司,重庆-江北区,5-7年经验,本科,"五险一金,补充医疗保险,交通补贴,餐饮补贴,通讯补贴,绩效奖金,股票期权,弹性工作,13薪,提供宿舍",上市公司,1000-5000人,网络游戏,5dc8e8f85955fa04c54b9bad
1338,Java高级开发工程师,2-3万/月,上海恒生聚源数据服务有限公司,杭州-滨江区,3-4年经验,本科,,民营公司,150-500人,计算机服务(系统、数据服务、维修),5dc8e8fa5955fa04c54b9bae
